Subject,Time,Percept,Repetition,DurSec,DurProp,Condition
S1,before,DE,1,22.5779,0.1262,Dark
S1,before,Mixed,1,132.1075,0.7383,Dark
S1,before,NDE,1,24.2556,0.1356,Dark
S1,before,DE,2,17.926,0.1,Dark
S1,before,Mixed,2,142.9753,0.7973,Dark
S1,before,NDE,2,18.4229,0.1027,Dark
S1,after,DE,1,13.963,0.0779,Dark
S1,after,Mixed,1,153.0801,0.8543,Dark
S1,after,NDE,1,12.1448,0.0678,Dark
S1,after,DE,2,9.4647,0.0528,Dark
S1,after,Mixed,2,160.0528,0.893,Dark
S1,after,NDE,2,9.7188,0.0542,Dark
S2,before,DE,1,83.9504,0.4691,Dark
S2,before,Mixed,1,18.7536,0.1048,Dark
S2,before,NDE,1,76.2455,0.4261,Dark
S2,before,DE,2,83.4995,0.4657,Dark
S2,before,Mixed,2,24.9417,0.1391,Dark
S2,before,NDE,2,70.8433,0.3951,Dark
S2,after,DE,1,45.5798,0.2543,Dark
S2,after,Mixed,1,84.8819,0.4736,Dark
S2,after,NDE,1,48.7469,0.272,Dark
S2,after,DE,2,48.3615,0.2696,Dark
S2,after,Mixed,2,113.3975,0.6321,Dark
S2,after,NDE,2,17.6411,0.0983,Dark
S3,before,DE,1,64.1222,0.3593,Dark
S3,before,Mixed,1,86.4668,0.4845,Dark
S3,before,NDE,1,27.8764,0.1562,Dark
S3,before,DE,2,41.6721,0.233,Dark
S3,before,Mixed,2,103.1117,0.5764,Dark
S3,before,NDE,2,34.0921,0.1906,Dark
S3,after,DE,1,48.8215,0.2729,Dark
S3,after,Mixed,1,89.2324,0.4988,Dark
S3,after,NDE,1,40.8554,0.2284,Dark
S3,after,DE,2,55.6209,0.3113,Dark
S3,after,Mixed,2,88.457,0.495,Dark
S3,after,NDE,2,34.6212,0.1937,Dark
S4,before,DE,1,42.0835,0.2354,Dark
S4,before,Mixed,1,87.8153,0.4912,Dark
S4,before,NDE,1,48.8923,0.2735,Dark
S4,before,DE,2,47.5383,0.2656,Dark
S4,before,Mixed,2,83.162,0.4646,Dark
S4,before,NDE,2,48.3052,0.2699,Dark
S4,after,DE,1,43.5707,0.243,Dark
S4,after,Mixed,1,95.5548,0.5329,Dark
S4,after,NDE,1,40.1769,0.2241,Dark
S4,after,DE,2,64.0851,0.3581,Dark
S4,after,Mixed,2,60.9945,0.3409,Dark
S4,after,NDE,2,53.8629,0.301,Dark
S5,before,DE,1,72.0369,0.4002,Dark
S5,before,Mixed,1,39.2404,0.218,Dark
S5,before,NDE,1,68.72,0.3818,Dark
S5,before,DE,2,64.5264,0.3585,Dark
S5,before,Mixed,2,53.3324,0.2963,Dark
S5,before,NDE,2,62.137,0.3452,Dark
S5,after,DE,1,64.501,0.3583,Dark
S5,after,Mixed,1,74.1207,0.4118,Dark
S5,after,NDE,1,41.3737,0.2299,Dark
S5,after,DE,2,54.2086,0.3012,Dark
S5,after,Mixed,2,75.5733,0.4199,Dark
S5,after,NDE,2,50.2142,0.279,Dark
S6,before,DE,1,69.6313,0.3914,Dark
S6,before,Mixed,1,51.7647,0.291,Dark
S6,before,NDE,1,56.5168,0.3177,Dark
S6,before,DE,2,57.69,0.3239,Dark
S6,before,Mixed,2,70.8309,0.3977,Dark
S6,before,NDE,2,49.5799,0.2784,Dark
S6,after,DE,1,61.2364,0.3424,Dark
S6,after,Mixed,1,74.4391,0.4162,Dark
S6,after,NDE,1,43.1946,0.2415,Dark
S6,after,DE,2,51.5431,0.2889,Dark
S6,after,Mixed,2,54.4413,0.3051,Dark
S6,after,NDE,2,72.4541,0.406,Dark
S7,before,DE,1,82.603,0.4633,Dark
S7,before,Mixed,1,21.5036,0.1206,Dark
S7,before,NDE,1,74.2034,0.4161,Dark
S7,before,DE,2,71.6375,0.4,Dark
S7,before,Mixed,2,36.504,0.2038,Dark
S7,before,NDE,2,70.9616,0.3962,Dark
S7,after,DE,1,63.7441,0.3557,Dark
S7,after,Mixed,1,59.2523,0.3306,Dark
S7,after,NDE,1,56.2263,0.3137,Dark
S7,after,DE,2,49.1068,0.2744,Dark
S7,after,Mixed,2,82.5328,0.4612,Dark
S7,after,NDE,2,47.3207,0.2644,Dark
S8,before,DE,1,62.4069,0.3514,Dark
S8,before,Mixed,1,64.2198,0.3616,Dark
S8,before,NDE,1,50.9913,0.2871,Dark
S8,before,DE,2,76.7917,0.4266,Dark
S8,before,Mixed,2,51.5111,0.2862,Dark
S8,before,NDE,2,51.6933,0.2872,Dark
S8,after,DE,1,63.3389,0.3519,Dark
S8,after,Mixed,1,82.4945,0.4583,Dark
S8,after,NDE,1,34.1629,0.1898,Dark
S8,after,DE,2,59.6264,0.3309,Dark
S8,after,Mixed,2,85.2233,0.473,Dark
S8,after,NDE,2,35.3439,0.1961,Dark
S9,before,DE,1,67.6275,0.3757,Dark
S9,before,Mixed,1,43.3405,0.2408,Dark
S9,before,NDE,1,69.0203,0.3835,Dark
S9,before,DE,2,76.8298,0.4268,Dark
S9,before,Mixed,2,32.9705,0.1832,Dark
S9,before,NDE,2,70.1943,0.39,Dark
S9,after,DE,1,63.5779,0.353,Dark
S9,after,Mixed,1,52.3157,0.2905,Dark
S9,after,NDE,1,64.1906,0.3564,Dark
S9,after,DE,2,68.7912,0.3822,Dark
S9,after,Mixed,2,49.7021,0.2761,Dark
S9,after,NDE,2,61.5024,0.3417,Dark
S10,before,DE,1,89.2782,0.4987,Dark
S10,before,Mixed,1,15.8925,0.0888,Dark
S10,before,NDE,1,73.8667,0.4126,Dark
S10,before,DE,2,86.0641,0.4801,Dark
S10,before,Mixed,2,19.4905,0.1087,Dark
S10,before,NDE,2,73.6966,0.4111,Dark
S10,after,DE,1,87.0459,0.4856,Dark
S10,after,Mixed,1,25.6213,0.1429,Dark
S10,after,NDE,1,66.5756,0.3714,Dark
S10,after,DE,2,91.6265,0.5105,Dark
S10,after,Mixed,2,17.3115,0.0965,Dark
S10,after,NDE,2,70.5409,0.393,Dark
S11,before,DE,1,80.9542,0.4543,Dark
S11,before,Mixed,1,27.9238,0.1567,Dark
S11,before,NDE,1,69.3068,0.389,Dark
S11,before,DE,2,75.8283,0.4232,Dark
S11,before,Mixed,2,38.4042,0.2143,Dark
S11,before,NDE,2,64.951,0.3625,Dark
S11,after,DE,1,75.6089,0.4229,Dark
S11,after,Mixed,1,25.3038,0.1415,Dark
S11,after,NDE,1,77.8703,0.4356,Dark
S11,after,DE,2,62.622,0.3497,Dark
S11,after,Mixed,2,43.2824,0.2417,Dark
S11,after,NDE,2,73.1659,0.4086,Dark
S12,before,DE,1,58.4351,0.3266,Dark
S12,before,Mixed,1,68.3834,0.3822,Dark
S12,before,NDE,1,52.114,0.2912,Dark
S12,before,DE,2,50.9638,0.2842,Dark
S12,before,Mixed,2,74.3367,0.4146,Dark
S12,before,NDE,2,53.9984,0.3012,Dark
S12,after,DE,1,47.453,0.265,Dark
S12,after,Mixed,1,90.1404,0.5035,Dark
S12,after,NDE,1,41.451,0.2315,Dark
S12,after,DE,2,47.016,0.2624,Dark
S12,after,Mixed,2,88.7566,0.4954,Dark
S12,after,NDE,2,43.3975,0.2422,Dark
S13,before,DE,1,47.1398,0.263,Dark
S13,before,Mixed,1,89.5396,0.4996,Dark
S13,before,NDE,1,42.5387,0.2374,Dark
S13,before,DE,2,46.8067,0.2623,Dark
S13,before,Mixed,2,96.2019,0.5391,Dark
S13,before,NDE,2,35.4497,0.1986,Dark
S13,after,DE,1,40.7752,0.2278,Dark
S13,after,Mixed,1,86.4144,0.4828,Dark
S13,after,NDE,1,51.7784,0.2893,Dark
S13,after,DE,2,56.1597,0.3153,Dark
S13,after,Mixed,2,81.0905,0.4553,Dark
S13,after,NDE,2,40.8674,0.2294,Dark
S14,before,DE,1,44.7584,0.2495,Dark
S14,before,Mixed,1,104.7781,0.584,Dark
S14,before,NDE,1,29.8788,0.1665,Dark
S14,before,DE,2,50.875,0.2838,Dark
S14,before,Mixed,2,99.8541,0.557,Dark
S14,before,NDE,2,28.5383,0.1592,Dark
S14,after,DE,1,31.7901,0.1777,Dark
S14,after,Mixed,1,126.9578,0.7095,Dark
S14,after,NDE,1,20.1865,0.1128,Dark
S14,after,DE,2,22.7193,0.1266,Dark
S14,after,Mixed,2,137.5222,0.7661,Dark
S14,after,NDE,2,19.2748,0.1074,Dark
S1,before,DE,1,6.4409,0.036,Light
S1,before,Mixed,1,165.1116,0.9216,Light
S1,before,NDE,1,7.6022,0.0424,Light
S1,before,DE,2,10.1663,0.0567,Light
S1,before,Mixed,2,155.2797,0.8653,Light
S1,before,NDE,2,13.9985,0.078,Light
S1,after,DE,1,7.0738,0.0394,Light
S1,after,Mixed,1,164.6611,0.9178,Light
S1,after,NDE,1,7.6697,0.0428,Light
S1,after,DE,2,6.8455,0.0382,Light
S1,after,Mixed,2,162.7378,0.9075,Light
S1,after,NDE,2,9.7502,0.0544,Light
S2,before,DE,1,39.9461,0.2219,Light
S2,before,Mixed,1,89.5841,0.4977,Light
S2,before,NDE,1,50.4676,0.2804,Light
S2,before,DE,2,37.4719,0.2088,Light
S2,before,Mixed,2,95.145,0.5301,Light
S2,before,NDE,2,46.8518,0.2611,Light
S2,after,DE,1,56.5707,0.3155,Light
S2,after,Mixed,1,96.2769,0.5369,Light
S2,after,NDE,1,26.4783,0.1477,Light
S2,after,DE,2,44.6574,0.2492,Light
S2,after,Mixed,2,112.0352,0.6253,Light
S2,after,NDE,2,22.475,0.1254,Light
S3,before,DE,1,48.3521,0.2703,Light
S3,before,Mixed,1,110.8316,0.6195,Light
S3,before,NDE,1,19.7229,0.1102,Light
S3,before,DE,2,59.894,0.3345,Light
S3,before,Mixed,2,95.2526,0.532,Light
S3,before,NDE,2,23.9048,0.1335,Light
S3,after,DE,1,48.1028,0.269,Light
S3,after,Mixed,1,113.0073,0.632,Light
S3,after,NDE,1,17.6933,0.099,Light
S3,after,DE,2,40.338,0.2255,Light
S3,after,Mixed,2,123.2346,0.6888,Light
S3,after,NDE,2,15.3441,0.0858,Light
S4,before,DE,1,43.6685,0.2443,Light
S4,before,Mixed,1,80.108,0.4482,Light
S4,before,NDE,1,54.9367,0.3074,Light
S4,before,DE,2,42.6964,0.2385,Light
S4,before,Mixed,2,77.9639,0.4354,Light
S4,before,NDE,2,58.3861,0.3261,Light
S4,after,DE,1,34.2669,0.1921,Light
S4,after,Mixed,1,86.8177,0.4867,Light
S4,after,NDE,1,57.3058,0.3212,Light
S4,after,DE,2,47.3476,0.263,Light
S4,after,Mixed,2,76.7034,0.4261,Light
S4,after,NDE,2,55.9655,0.3109,Light
S5,before,DE,1,34.0964,0.1894,Light
S5,before,Mixed,1,102.6996,0.5706,Light
S5,before,NDE,1,43.2018,0.24,Light
S5,before,DE,2,31.1824,0.1732,Light
S5,before,Mixed,2,118.7731,0.6599,Light
S5,before,NDE,2,30.0429,0.1669,Light
S5,after,DE,1,18.6217,0.1035,Light
S5,after,Mixed,1,139.865,0.777,Light
S5,after,NDE,1,21.51,0.1195,Light
S5,after,DE,2,16.5086,0.0917,Light
S5,after,Mixed,2,128.9346,0.7163,Light
S5,after,NDE,2,34.5539,0.192,Light
S6,before,DE,1,63.6192,0.3557,Light
S6,before,Mixed,1,68.1869,0.3813,Light
S6,before,NDE,1,47.0441,0.263,Light
S6,before,DE,2,67.6484,0.3783,Light
S6,before,Mixed,2,69.4512,0.3884,Light
S6,before,NDE,2,41.7112,0.2333,Light
S6,after,DE,1,49.7219,0.2776,Light
S6,after,Mixed,1,64.9713,0.3628,Light
S6,after,NDE,1,64.3905,0.3596,Light
S6,after,DE,2,54.0188,0.3014,Light
S6,after,Mixed,2,70.3344,0.3924,Light
S6,after,NDE,2,54.8718,0.3062,Light
S7,before,DE,1,79.1564,0.4427,Light
S7,before,Mixed,1,46.4453,0.2598,Light
S7,before,NDE,1,53.1841,0.2975,Light
S7,before,DE,2,68.8254,0.3864,Light
S7,before,Mixed,2,58.8927,0.3306,Light
S7,before,NDE,2,50.3977,0.2829,Light
S7,after,DE,1,68.3268,0.3812,Light
S7,after,Mixed,1,57.924,0.3231,Light
S7,after,NDE,1,53.0041,0.2957,Light
S7,after,DE,2,63.7392,0.3561,Light
S7,after,Mixed,2,65.9184,0.3683,Light
S7,after,NDE,2,49.3241,0.2756,Light
S8,before,DE,1,88.3318,0.4908,Light
S8,before,Mixed,1,49.408,0.2745,Light
S8,before,NDE,1,42.2473,0.2347,Light
S8,before,DE,2,101.1992,0.5622,Light
S8,before,Mixed,2,34.3205,0.1907,Light
S8,before,NDE,2,44.4773,0.2471,Light
S8,after,DE,1,93.6169,0.5201,Light
S8,after,Mixed,1,34.3103,0.1906,Light
S8,after,NDE,1,52.0718,0.2893,Light
S8,after,DE,2,66.7963,0.3708,Light
S8,after,Mixed,2,48.7409,0.2705,Light
S8,after,NDE,2,64.6251,0.3587,Light
S9,before,DE,1,78.1244,0.4337,Light
S9,before,Mixed,1,26.9897,0.1498,Light
S9,before,NDE,1,75.0046,0.4164,Light
S9,before,DE,2,81.8805,0.4567,Light
S9,before,Mixed,2,26.7857,0.1494,Light
S9,before,NDE,2,70.6058,0.3938,Light
S9,after,DE,1,73.0942,0.408,Light
S9,after,Mixed,1,27.8444,0.1554,Light
S9,after,NDE,1,78.2007,0.4365,Light
S9,after,DE,2,72.7416,0.4055,Light
S9,after,Mixed,2,37.4199,0.2086,Light
S9,after,NDE,2,69.2071,0.3858,Light
S10,before,DE,1,85.9972,0.4778,Light
S10,before,Mixed,1,27.2257,0.1513,Light
S10,before,NDE,1,66.7708,0.371,Light
S10,before,DE,2,75.3331,0.4185,Light
S10,before,Mixed,2,33.4259,0.1857,Light
S10,before,NDE,2,71.2381,0.3958,Light
S10,after,DE,1,78.2604,0.4348,Light
S10,after,Mixed,1,38.8274,0.2157,Light
S10,after,NDE,1,62.9104,0.3495,Light
S10,after,DE,2,84.1599,0.4676,Light
S10,after,Mixed,2,29.2885,0.1627,Light
S10,after,NDE,2,66.5499,0.3697,Light
S11,before,DE,1,59.8652,0.3345,Light
S11,before,Mixed,1,55.746,0.3115,Light
S11,before,NDE,1,63.3528,0.354,Light
S11,before,DE,2,59.5276,0.3324,Light
S11,before,Mixed,2,39.3953,0.22,Light
S11,before,NDE,2,80.1484,0.4476,Light
S11,after,DE,1,61.1114,0.3416,Light
S11,after,Mixed,1,51.0349,0.2853,Light
S11,after,NDE,1,66.7341,0.3731,Light
S11,after,DE,2,67.4342,0.3761,Light
S11,after,Mixed,2,46.2834,0.2581,Light
S11,after,NDE,2,65.5828,0.3658,Light
S12,before,DE,1,73.1847,0.4088,Light
S12,before,Mixed,1,49.3859,0.2759,Light
S12,before,NDE,1,56.4389,0.3153,Light
S12,before,DE,2,60.451,0.3373,Light
S12,before,Mixed,2,54.0914,0.3018,Light
S12,before,NDE,2,64.7038,0.361,Light
S12,after,DE,1,65.5566,0.3653,Light
S12,after,Mixed,1,50.6945,0.2825,Light
S12,after,NDE,1,63.2286,0.3523,Light
S12,after,DE,2,83.1874,0.464,Light
S12,after,Mixed,2,35.5296,0.1982,Light
S12,after,NDE,2,60.5758,0.3379,Light
S13,before,DE,1,37.2332,0.2081,Light
S13,before,Mixed,1,88.749,0.4959,Light
S13,before,NDE,1,52.9775,0.296,Light
S13,before,DE,2,53.3457,0.298,Light
S13,before,Mixed,2,75.9135,0.4241,Light
S13,before,NDE,2,49.7493,0.2779,Light
S13,after,DE,1,64.893,0.3629,Light
S13,after,Mixed,1,60.0658,0.3359,Light
S13,after,NDE,1,53.8607,0.3012,Light
S13,after,DE,2,60.8959,0.34,Light
S13,after,Mixed,2,71.0981,0.3969,Light
S13,after,NDE,2,47.1258,0.2631,Light
S14,before,DE,1,42.6418,0.238,Light
S14,before,Mixed,1,111.0905,0.6201,Light
S14,before,NDE,1,25.4119,0.1419,Light
S14,before,DE,2,31.7518,0.1769,Light
S14,before,Mixed,2,132.382,0.7376,Light
S14,before,NDE,2,15.3546,0.0855,Light
S14,after,DE,1,25.9182,0.1443,Light
S14,after,Mixed,1,135.5018,0.7544,Light
S14,after,NDE,1,18.1849,0.1012,Light
S14,after,DE,2,26.6189,0.1483,Light
S14,after,Mixed,2,136.6615,0.7611,Light
S14,after,NDE,2,16.2666,0.0906,Light
